Customer Number,Applied Loan Amount in Lacs,Month,Fin Year,Month Year,Channel Id,Product Id,Gender,Occupation,Age,Salary,Branch Code
1,6,1,2018,#N/A,2,2,Female,Salaried,56-63,25+,14
2,16,1,2019,#N/A,4,3,Male,Salaried,33-43,9 LPA - 15 LPA,5
3,2,4,2019,#N/A,1,2,Third Gender,Salaried,26-32,3 LPA - 5 LPA,1
4,8,7,2019,#N/A,3,2,Third Gender,Salaried,26-32,15 LPA - 25 LPA,7
5,24,9,2019,#N/A,3,4,Male,Salaried,33-43,15 LPA - 25 LPA,15
6,12,7,2017,#N/A,2,2,Third Gender,Salaried,26-32,3 LPA - 5 LPA,6
7,2,12,2017,#N/A,4,2,Female,Salaried,56-63,15 LPA - 25 LPA,5
8,16,8,2019,#N/A,2,3,Male,Salaried,26-32,3 LPA - 5 LPA,10
9,3,9,2018,#N/A,3,1,Female,Salaried,44-55,7 LPA - 9 LPA,2
10,2,12,2017,#N/A,4,2,Female,Salaried,33-43,7 LPA - 9 LPA,2
11,6,7,2017,#N/A,3,1,Female,Salaried,33-43,25+,1
12,24,12,2017,#N/A,3,2,Male,Salaried,26-32,15 LPA - 25 LPA,14
13,8,9,2018,#N/A,2,2,Female,Salaried,63+,3 LPA - 5 LPA,4
14,4,12,2018,#N/A,2,2,Third Gender,Salaried,26-32,15 LPA - 25 LPA,6
15,18,1,2018,#N/A,3,4,Male,Salaried,33-43,15 LPA - 25 LPA,12
16,10,9,2019,#N/A,2,2,Female,Salaried,26-32,3 LPA - 5 LPA,12
17,18,11,2018,#N/A,3,3,Third Gender,Salaried,33-43,9 LPA - 15 LPA,9
18,12,7,2017,#N/A,2,4,Male,Salaried,26-32,7 LPA - 9 LPA,2
19,18,12,2018,#N/A,3,2,Male,Salaried,26-32,25+,4
20,6,3,2019,#N/A,3,2,Female,Salaried,33-43,5 LPA - 7 LPA,12
21,11,3,2018,#N/A,2,3,Third Gender,Salaried,56-63,7 LPA - 9 LPA,9
22,20,7,2017,#N/A,1,2,Male,Salaried,26-32,7 LPA - 9 LPA,9
23,2,2,2019,#N/A,3,1,Male,Salaried,26-32,7 LPA - 9 LPA,4
24,4,3,2018,#N/A,4,4,Female,Salaried,44-55,7 LPA - 9 LPA,2
25,4,1,2019,#N/A,3,1,Female,Salaried,63+,3 LPA - 5 LPA,14
26,12,9,2018,#N/A,3,1,Male,Salaried,26-32,5 LPA - 7 LPA,9
27,2,5,2019,#N/A,3,1,Female,Salaried,26-32,25+,4
28,6,11,2018,#N/A,2,4,Female,Salaried,63+,7 LPA - 9 LPA,14
29,2,9,2017,#N/A,1,4,Third Gender,Salaried,56-63,7 LPA - 9 LPA,5
30,10,5,2018,#N/A,1,3,Third Gender,Salaried,56-63,25+,1
31,24,9,2017,#N/A,1,1,Male,Salaried,26-32,25+,5
32,18,7,2018,#N/A,3,4,Male,Salaried,33-43,25+,13
33,8,5,2017,#N/A,3,3,Third Gender,Salaried,44-55,7 LPA - 9 LPA,1
34,2,12,2017,#N/A,3,4,Female,Salaried,26-32,25+,10
35,9,10,2017,#N/A,3,1,Female,Salaried,63+,5 LPA - 7 LPA,2
36,8,8,2017,#N/A,1,2,Male,Salaried,33-43,5 LPA - 7 LPA,1
37,4,12,2018,#N/A,1,1,Female,Salaried,26-32,7 LPA - 9 LPA,4
38,10,5,2017,#N/A,4,3,Male,Salaried,33-43,3 LPA - 5 LPA,6
39,8,4,2018,#N/A,3,1,Female,Salaried,26-32,9 LPA - 15 LPA,10
40,2,8,2019,#N/A,3,4,Third Gender,Salaried,44-55,15 LPA - 25 LPA,1
41,6,7,2019,#N/A,1,3,Third Gender,Salaried,26-32,25+,7
42,1,7,2017,#N/A,4,2,Female,Salaried,56-63,3 LPA - 5 LPA,7
43,8,11,2019,#N/A,2,4,Male,Salaried,56-63,3 LPA - 5 LPA,1
44,8,7,2018,#N/A,1,3,Male,Salaried,26-32,15 LPA - 25 LPA,3
45,4,5,2019,#N/A,3,2,Third Gender,Salaried,33-43,9 LPA - 15 LPA,10
46,1,2,2018,#N/A,1,2,Third Gender,Salaried,44-55,9 LPA - 15 LPA,6
47,16,7,2017,#N/A,3,1,Male,Salaried,26-32,3 LPA - 5 LPA,5
48,4,12,2018,#N/A,2,2,Female,Salaried,56-63,15 LPA - 25 LPA,7
49,16,10,2018,#N/A,2,3,Male,Salaried,26-32,7 LPA - 9 LPA,10
50,4,1,2018,#N/A,2,2,Male,Salaried,44-55,25+,15
51,14,9,2017,#N/A,2,2,Male,Salaried,26-32,9 LPA - 15 LPA,9
52,8,7,2017,#N/A,1,1,Third Gender,Salaried,63+,3 LPA - 5 LPA,7
53,16,3,2018,#N/A,2,4,Male,Salaried,33-43,7 LPA - 9 LPA,10
54,5,8,2017,#N/A,3,4,Male,Salaried,44-55,25+,10
55,3,8,2018,#N/A,4,3,Third Gender,Salaried,63+,9 LPA - 15 LPA,1
56,3,5,2017,#N/A,3,3,Third Gender,Salaried,44-55,5 LPA - 7 LPA,13
57,6,9,2017,#N/A,4,4,Third Gender,Salaried,63+,7 LPA - 9 LPA,2
58,14,10,2018,#N/A,1,3,Female,Salaried,33-43,9 LPA - 15 LPA,3
59,12,5,2018,#N/A,3,3,Male,Salaried,26-32,9 LPA - 15 LPA,14
60,9,3,2018,#N/A,2,1,Third Gender,Salaried,63+,25+,12
61,20,7,2018,#N/A,1,1,Female,Salaried,26-32,9 LPA - 15 LPA,14
62,16,2,2019,#N/A,3,1,Female,Salaried,26-32,3 LPA - 5 LPA,3
63,16,10,2018,#N/A,3,2,Female,Salaried,26-32,9 LPA - 15 LPA,7
64,12,3,2018,#N/A,3,1,Third Gender,Salaried,26-32,15 LPA - 25 LPA,3
65,4,12,2019,#N/A,1,3,Third Gender,Salaried,44-55,5 LPA - 7 LPA,6
66,20,1,2018,#N/A,3,1,Female,Salaried,26-32,9 LPA - 15 LPA,1
67,2,9,2017,#N/A,3,1,Third Gender,Salaried,26-32,5 LPA - 7 LPA,14
68,12,9,2017,#N/A,4,1,Third Gender,Salaried,44-55,15 LPA - 25 LPA,1
69,12,12,2017,#N/A,4,3,Male,Salaried,56-63,9 LPA - 15 LPA,13
70,2,5,2019,#N/A,1,1,Third Gender,Salaried,26-32,25+,2
71,12,10,2017,#N/A,3,2,Female,Salaried,44-55,3 LPA - 5 LPA,7
72,4,3,2019,#N/A,3,3,Third Gender,Salaried,33-43,15 LPA - 25 LPA,5
73,12,7,2019,#N/A,2,3,Third Gender,Salaried,33-43,9 LPA - 15 LPA,15
74,12,10,2018,#N/A,1,2,Female,Salaried,33-43,25+,8
75,6,4,2017,#N/A,3,3,Female,Salaried,56-63,7 LPA - 9 LPA,2
76,18,7,2019,#N/A,2,1,Third Gender,Salaried,33-43,25+,2
77,5,2,2017,#N/A,3,2,Third Gender,Salaried,56-63,3 LPA - 5 LPA,7
