Customer Number,Month,Fin Year,Month Year,Delinquency Months,Recovery Amount,Recovery Branch
1,1,2018,1-2018,30 Days,3.53,Delhi
6,6,2017,6-2017,60 Days,9.42,Ranchi
7,12,2017,12-2017,90 Days,1.40,Shillong
9,9,2018,9-2018,90 Days,5.59,Nasik
10,12,2017,12-2017,12 Months,14.13,Ranchi
11,6,2017,6-2017,6 Month,8.39,Gandhinagar
12,12,2017,12-2017,30 Days,1.18,Nagpur
13,9,2018,9-2018,90 Days,11.19,Gandhinagar
14,12,2018,12-2018,60 Days,1.77,Nagpur
15,1,2018,1-2018,90 Days,1.18,Ranchi
17,11,2018,11-2018,30 Days,3.53,Pune
18,6,2017,6-2017,12 Months,16.78,Jaipur
19,12,2018,12-2018,60 Days,4.71,Delhi
21,3,2018,3-2018,90 Days,2.80,Aurangabad
22,7,2017,7-2017,6 Month,10.60,Chennai
24,3,2018,3-2018,6 Month,6.99,Aurangabad
26,9,2018,9-2018,30 Days,10.60,Pune
28,11,2018,11-2018,24 Months and more,8.39,Jaipur
29,9,2017,9-2017,30 Days,12.59,Mumbai
30,5,2018,5-2018,6 Month,3.53,Ranchi
31,9,2017,9-2017,30 Days,6.48,Delhi
32,6,2018,6-2018,12 Months,13.98,Delhi
33,5,2017,5-2017,90 Days,1.40,Gandhinagar
34,12,2017,12-2017,12 Months,2.36,Shillong
35,10,2017,10-2017,60 Days,2.36,Shillong
36,8,2017,8-2017,6 Month,8.39,Pune
37,12,2018,12-2018,30 Days,1.40,Ranchi
38,5,2017,5-2017,12 Months,3.53,Jaipur
39,4,2018,4-2018,6 Month,1.18,Chennai
42,6,2017,6-2017,6 Month,5.89,Mumbai
44,7,2018,7-2018,6 Month,16.78,Mumbai
46,2,2018,2-2018,12 Months,10.60,Gandhinagar
47,6,2017,6-2017,24 Months and more,4.71,Shillong
48,12,2018,12-2018,60 Days,1.40,Mumbai
49,10,2018,10-2018,24 Months and more,5.30,Gandhinagar
50,1,2018,1-2018,24 Months and more,4.71,Delhi
51,9,2017,9-2017,60 Days,2.80,Chennai
52,6,2017,6-2017,12 Months,5.89,Delhi
53,3,2018,3-2018,60 Days,5.59,Gandhinagar
54,8,2017,8-2017,90 Days,1.18,Pune
55,8,2018,8-2018,6 Month,4.20,Jaipur
56,5,2017,5-2017,30 Days,0.59,Nagpur
57,9,2017,9-2017,12 Months,4.71,Nagpur
58,10,2018,10-2018,60 Days,5.59,Aurangabad
59,5,2018,5-2018,24 Months and more,2.36,Chandigarh
60,3,2018,3-2018,6 Month,0.59,Gandhinagar
61,7,2018,7-2018,6 Month,11.19,Chandigarh
63,10,2018,10-2018,30 Days,2.36,Srinagar
64,3,2018,3-2018,24 Months and more,11.19,Aurangabad
66,1,2018,1-2018,6 Month,2.36,Nasik
67,9,2017,9-2017,12 Months,9.79,Chennai
68,9,2017,9-2017,30 Days,4.71,Shillong
69,12,2017,12-2017,30 Days,9.42,Shillong
71,10,2017,10-2017,24 Months and more,2.94,Aurangabad
74,10,2018,10-2018,6 Month,1.77,Mumbai
75,4,2017,4-2017,24 Months and more,1.77,Delhi
77,2,2017,2-2017,90 Days,3.53,Aurangabad
78,1,2018,1-2018,90 Days,8.24,Srinagar
79,1,2018,1-2018,60 Days,8.39,Srinagar
80,3,2017,3-2017,24 Months and more,5.30,Gandhinagar
82,8,2018,8-2018,24 Months and more,13.98,Shillong
85,5,2018,5-2018,12 Months,11.19,Bengaluru
86,3,2017,3-2017,12 Months,11.19,Nasik
87,3,2018,3-2018,24 Months and more,8.39,Pune
88,1,2018,1-2018,12 Months,2.36,Jaipur
90,5,2017,5-2017,60 Days,13.98,Chandigarh
91,11,2018,11-2018,12 Months,1.40,Bengaluru
93,8,2018,8-2018,6 Month,7.07,Chandigarh
95,5,2018,5-2018,60 Days,7.07,Mumbai
96,3,2018,3-2018,90 Days,1.40,Shillong
97,2,2017,2-2017,12 Months,7.07,Aurangabad
98,6,2017,6-2017,6 Month,2.36,Shillong
100,4,2017,4-2017,12 Months,7.07,Chandigarh
101,12,2017,12-2017,30 Days,7.07,Chandigarh
102,2,2017,2-2017,60 Days,3.53,Nagpur
103,9,2018,9-2018,90 Days,10.60,Aurangabad
104,11,2017,11-2017,60 Days,2.94,Mumbai
105,9,2017,9-2017,90 Days,0.59,Ranchi
106,11,2018,11-2018,30 Days,0.59,Bengaluru
108,3,2018,3-2018,30 Days,1.77,Nasik
109,4,2018,4-2018,30 Days,5.59,Pune
111,6,2018,6-2018,6 Month,10.60,Bengaluru
112,7,2018,7-2018,6 Month,15.38,Chennai
114,10,2017,10-2017,12 Months,11.78,Gandhinagar
115,7,2017,7-2017,6 Month,12.59,Srinagar
117,2,2017,2-2017,30 Days,5.89,Bhopal
118,6,2018,6-2018,90 Days,12.59,Gandhinagar
121,3,2017,3-2017,90 Days,1.18,Bhopal
122,7,2018,7-2018,12 Months,5.30,Mumbai
123,8,2018,8-2018,6 Month,2.80,Delhi
124,12,2017,12-2017,90 Days,4.71,Ranchi
125,7,2017,7-2017,90 Days,1.18,Gandhinagar
127,9,2017,9-2017,12 Months,6.99,Ranchi
128,8,2018,8-2018,24 Months and more,9.79,Delhi
129,9,2017,9-2017,30 Days,7.07,Pune
132,2,2018,2-2018,90 Days,2.36,Bhopal
133,4,2018,4-2018,12 Months,2.94,Aurangabad
134,3,2017,3-2017,90 Days,12.59,Jaipur
135,2,2018,2-2018,6 Month,3.53,Pune
136,1,2017,1-2017,60 Days,5.30,Jaipur
137,8,2018,8-2018,90 Days,1.40,Nasik
138,4,2018,4-2018,6 Month,4.71,Shillong
140,12,2017,12-2017,60 Days,4.71,Aurangabad
