Customer Number,Applied Loan Amount in Lacs,Month,Fin Year,Month Year,Sanction Amt in Lacs,Disb Amt in Lacs,SDF Branch
1,6,1,2018,#N/A,4.8,4.42,Gandhinagar
2,16,1,2019,#N/A,12.8,11.78,Bengaluru
3,2,4,2019,#N/A,1.9,1.75,Mumbai
4,8,7,2019,#N/A,7.6,6.99,Chennai
5,24,9,2019,#N/A,19.2,17.66,Ranchi
6,12,6,2017,#N/A,11.4,10.49,Bhopal
7,2,12,2017,#N/A,1.6,1.47,Bengaluru
8,16,8,2019,#N/A,15.2,13.98,Nagpur
9,3,9,2018,#N/A,2.4,2.21,Pune
10,2,12,2017,#N/A,1.6,1.47,Pune
11,6,6,2017,#N/A,4.8,4.42,Mumbai
12,24,12,2017,#N/A,22.8,20.98,Gandhinagar
13,8,9,2018,#N/A,6.4,5.89,Delhi
14,4,12,2018,#N/A,3.8,3.50,Bhopal
15,18,1,2018,#N/A,14.4,13.25,Srinagar
16,10,9,2019,#N/A,9.5,8.74,Srinagar
17,18,11,2018,#N/A,14.4,13.25,Aurangabad
18,12,6,2017,#N/A,11.4,10.49,Pune
19,18,12,2018,#N/A,17.1,15.73,Delhi
20,6,3,2019,#N/A,4.8,4.42,Srinagar
21,11,3,2018,#N/A,8.8,8.10,Aurangabad
22,20,7,2017,#N/A,19,17.48,Aurangabad
23,2,2,2019,#N/A,1.9,1.75,Delhi
24,4,3,2018,#N/A,3.2,2.94,Pune
25,4,1,2019,#N/A,3.2,2.94,Gandhinagar
26,12,9,2018,#N/A,11.4,10.49,Aurangabad
27,2,5,2019,#N/A,1.9,1.75,Delhi
28,6,11,2018,#N/A,4.8,4.42,Gandhinagar
29,2,9,2017,#N/A,1.6,1.47,Bengaluru
30,10,5,2018,#N/A,8,7.36,Mumbai
31,24,9,2017,#N/A,22.8,20.98,Bengaluru
32,18,6,2018,#N/A,14.4,13.25,Shillong
33,8,5,2017,#N/A,6.4,5.89,Mumbai
34,2,12,2017,#N/A,1.9,1.75,Nagpur
35,9,10,2017,#N/A,7.2,6.62,Pune
36,8,8,2017,#N/A,6.4,5.89,Mumbai
37,4,12,2018,#N/A,3.8,3.50,Delhi
38,10,5,2017,#N/A,8,7.36,Bhopal
39,8,4,2018,#N/A,7.6,6.99,Nagpur
40,2,8,2019,#N/A,1.6,1.47,Mumbai
41,6,7,2019,#N/A,5.7,5.24,Chennai
42,1,6,2017,#N/A,0.8,0.74,Chennai
43,8,11,2019,#N/A,6.4,5.89,Mumbai
44,8,7,2018,#N/A,7.6,6.99,Nasik
45,4,5,2019,#N/A,3.2,2.94,Nagpur
46,1,2,2018,#N/A,0.8,0.74,Bhopal
47,16,6,2017,#N/A,15.2,13.98,Bengaluru
48,4,12,2018,#N/A,3.2,2.94,Chennai
49,16,10,2018,#N/A,15.2,13.98,Nagpur
50,4,1,2018,#N/A,3.2,2.94,Ranchi
51,14,9,2017,#N/A,13.3,12.24,Aurangabad
52,8,6,2017,#N/A,6.4,5.89,Chennai
53,16,3,2018,#N/A,12.8,11.78,Nagpur
54,5,8,2017,#N/A,4,3.68,Nagpur
55,3,8,2018,#N/A,2.4,2.21,Mumbai
56,3,5,2017,#N/A,2.4,2.21,Shillong
57,6,9,2017,#N/A,4.8,4.42,Pune
58,14,10,2018,#N/A,11.2,10.30,Nasik
59,12,5,2018,#N/A,11.4,10.49,Gandhinagar
60,9,3,2018,#N/A,7.2,6.62,Srinagar
61,20,7,2018,#N/A,19,17.48,Gandhinagar
62,16,2,2019,#N/A,15.2,13.98,Nasik
63,16,10,2018,#N/A,15.2,13.98,Chennai
64,12,3,2018,#N/A,11.4,10.49,Nasik
65,4,12,2019,#N/A,3.2,2.94,Bhopal
66,20,1,2018,#N/A,19,17.48,Mumbai
67,2,9,2017,#N/A,1.9,1.75,Gandhinagar
68,12,9,2017,#N/A,9.6,8.83,Mumbai
69,12,12,2017,#N/A,9.6,8.83,Shillong
70,2,5,2019,#N/A,1.9,1.75,Pune
71,12,10,2017,#N/A,9.6,8.83,Chennai
72,4,3,2019,#N/A,3.2,2.94,Bengaluru
